asig_codigo,asig_nombre
DERE1143,"DERE1143 - NEGOCIACIÓN, MEDIACIÓN Y ARBITRAJE"
DERE1912,DERE1912 - PROPIEDAD INTELECTUAL
EMHG1107,EMHG1107 - CONEXIONES DIDACTICO DISCIPLINARES
FCJ1135,FCJ1135 - LITIGACION ORAL
FCRF1420,FCRF1420 - LA MUJER EN LA BIBLIA
GEOG1112,GEOG1112 - TALLER DE PROYECTOS GEOGRAFICOS II
ICA1117,ICA1117 - NORMALIZACION Y CERTIFICACION AMBIENTAL
ICA1125,ICA1125 - RESOLUCION DE CONFLICTOS
ICG1172,ICG1172 - GEOLOGIA ESTRUCTURAL
ICI1107,ICI1107 - GESTION DE LA CALIDAD
ICOC1129,ICOC1129 - COSTOS Y PRESUPUESTOS
IET1431,IET1431 - ETICA PROFESIONAL
IET1441,IET1441 - BIBLIA Y JUSTICIA SOCIAL
IET1450,IET1450 - BIBLIA COMO CULTURA Y LITERATURA
INFO1158,INFO1158 - TEORÍA DE GRAFOS
INFO1186,INFO1186 - TOPICOS AVANZADOS DE TECNOLOGÍA INFORMACIÓN I
INGEL1110,INGEL1110 - FISICA I
KINE1128,KINE1128 - TRABAJO DE GRADO
LEN1705,LEN1705 - INGLÉS TÉCNICO
MAT1147,MAT1147 - MATEMATICA APLICADA II
MAT1193,MAT1193 - ALGEBRA LINEAL
MATE1113,MATE1113 - CALCULO III
MVET1905,MVET1905 - FAUNA SILVESTRE DE CHILE
NUTR1105,NUTR1105 - HISTOLOGIA
PBI1113,PBI1113 - PRÁCTICA PEDAGÓGICA: DESARROLLO PROFESIONAL DOCENTE EN CONTEXTO INTERCULTURAL
PBM1108,PBM1108 - PENSAMIENTO HISTORICO PARA EL APRENDIZAJE LAS CULTURAS DE LA HUMANIDAD
PLC1104,PLC1104 - PRACTICA INICIAL: DIAGNOSTICO PEDAGOGICO INTERMEDIO
PLC1105,PLC1105 - COMPRENSION Y PRODUCCION PARA EL APRENDIZAJE DE TEXTOS AUTENTICOS CON ENFASIS EN EL RESUMEN Y LA SINTESIS
PSIC1109,PSIC1109 - PROCESOS NEUROPSICOLOGICOS I
SCLG1154,SCLG1154 - INTRODUCCION A LOS METODOS DE INVESTIGACION
TRAD1108,TRAD1108 - LENGUA Y CULTURA INGLESA II	
TRAD1109,TRAD1109 - FONÉTICA INGLESA II
TTG1124,TTG1124 - GESTION DE PROYECTOS TOPOGRAFICOS
ADM1138,ADM1138 - CONTABILIDAD IV
AGR1125,AGR1125 - ESTADÍSTICA APLICADA A LA AGRONOMÍA
AMB1130,AMB1130 - GEOGRAFÍA ECONÓMICA
ANT1147,ANT1147 - INVESTIGACION AUDIOVISUAL
ANT1158,ANT1158 - ANTROPOLOGIA LATINOAMERICANA
ANT1161,ANT1161 - TALLER DE TITULACION
AQG1107,AQG1107 - TEORIA ARQUEOLOGICA II
AQG1118,AQG1118 - DISEÑO Y GESTION DE PROYECTOS DE INVESTIGACION
AQG1125,AQG1125 - TRABAJO DE TITULO II
ARQ1157,ARQ1157 - TECTÓNICA Y CIENCIAS DE LOS MATERIALES
CEA1140,CEA1140 - MACROECONOMÍA
CONS1108,CONS1108 - TECNOLOGÍA DEL HORMIGÓN
CPLT1136,CPLT1136 - HISTORIA DE LAS IDEAS POLÍTICAS
DERE1117,DERE1117 - DERECHO CIVIL II
EPA1187,EPA1187 - FORMACION CIUDADANA EN EL PARVULO
FCRF1421,FCRF1421 - LA PREGUNTA POR EL SENTIDO DE LA VIDA FRENTE A LA POSTMODERNIDAD
FIL1144,FIL1144 - LATIN I
FIS1112,FIS1112 - MECANICA PARA GEOLOGIA
FIS1114,FIS1114 - BIOFISICA APLICADA AL MOVIMIENTO
GEO1168,GEO1168 - PRACTICA INICIAL
GEOG1113,GEOG1113 - TRABAJO DE TITULO
ICI1126,ICI1126 - PLANEAMIENTO Y CONTROL DE PRODUCCION I
ICO1901,ICO1901 - INNOVACIÓN Y TRANSFERENCIA TECNOLÓGICA
ICQ1182,ICQ1182 - PROYECTO DE TITULO II
INGEL1103,INGEL1103 - CÁLCULO I
LEN1112,LEN1112 - TEORIA LITERARIA
LEN1148,LEN1148 - LITERATURA CHILENA Y LATINOAMERICANA MODERNA Y CONTEMPORANEA
MATE1115,MATE1115 - CALCULO NUMERICO
OFIC1106,OFIC1106 - PROCESO CREATIVO 2
PBM1188,PBM1188 - CONSTRUCCION DEL CONOCIMIENTO GRAMATICAL
PCE1122,PCE1122 - SEMINARIO
PSIC1127,PSIC1127 - INVESTIGACION CUANTITATIVA
PSIC1137,PSIC1137 - SEMINARIO DE INVESTIGACION
SCLG1165,SCLG1165 - SOCIOLOGÍA URBANA Y RURAL
TOCU1113,TOCU1113 - TRAUMATOLOGIA
TSO1168,"TSO1168 - TRABAJO SOCIAL, PUEBLO MAPUCHE Y PRAXIS INTERCULTURAL"
TUPA1118,TUPA1118 - PRODUCCIÓN ANIMAL II
TUPA1120,TUPA1120 - FORMULACIÓN Y EVALUACIÓN DE PROYECTOS
VET1150,VET1150 - ENTIDADES PATOLOGICAS VI
ADM1142,ADM1142 - ADMINISTRACION FINANCIERA II
AGR1128,AGR1128 - MANEJO SISTEMAS PRATENSES
AMB1126,AMB1126 - GENÉTICA DE LA CONSERVACIÓN
CNB1107,CNB1107 - QUIMICA ORGANISMO Y ENTORNO
CPLT1147,CPLT1147 - OPINIÓN PÚBLICA Y ELECCIONES
CPLT1148,CPLT1148 - FORMULACIÓN DE POLÍTICAS PÚBLICAS
DDO1052,DDO1052 - DIVERSIDAD SOCIOCULTURAL Y CREACIÓN LITERARIA
DDO1080,DDO1080 - SALUD Y ENFERMEDAD DESDE MAPUCHE KIMÜN
DERE1142,DERE1142 - DERECHO LABORAL II
DISE1124,DISE1124 - TALLER  DE DISEÑO 6
DISE1133,DISE1133 - DESARROLLO DE PROYECTOS
FONO1119,FONO1119 - INTERVENCIÓN DE LA COMUNICACIÓN EN ADULTOS Y ADULTO MAYOR II
ICA1108,ICA1108 - BIOQUIMICA Y MICROBIOLOGIA INDUSTRIAL
ICI1123,ICI1123 - METODOS DE EVALUACION ECONOMICA
ICO1127,ICO1127 - EMPRENDIMIENTO SOCIAL Y RSE
ICO1199,ICO1199 - SUSTENTABILIDAD Y DESARROLLO EMPRENDEDOR TERRITORIAL
ICOC1173,ICOC1173 - TALLER DE HIDRAULICA
IET1423,"IET1423 - PERSONA, COMUNIÓN Y SERVICIO"
INFO1164,INFO1164 - PRÁCTICA INICIAL
IRNR1111,IRNR1111 - RESTAURACION ECOLOGICA
IRNR1115,IRNR1115 - PROYECTO DE TITULO
LEN1110,LEN1110 - GRAMATICA ESPAÑOLA
LEN1163,LEN1163 - COMPETENCIA LINGUISTICA INICIAL II
LEN1170,LEN1170 - COMPETENCIA LINGÜÍSTICA INTERMEDIA II
PBI1135,"PBI1135 - DATOS, PROBABILIDADES Y SU DIDÁCTICA"
TEMD1126,TEMD1126 - DIAGNOSTICO MICROBIOLOGICO
TOC1138,TOC1138 - TRABAJO DE GRADO
TRA1156,TRA1156 - TRABAJO DE TITULO
TSO1186,TSO1186 - SEMINARIO DE SUJETOS Y PROCESOS SOCIALES
VET1125,"VET1125 - PRODUCCION INTENSIVA AVES, CERDOS, PECES"
ADM1141,ADM1141 - MARKETING
AGR0137,AGR0137 - DISEÑO DE SISTEMAS DE RIEGO Y DRENAJE
AMB1138,AMB1138 - HIDROLOGIA
AQG1119,AQG1119 - GESTION DEL PATRIMONIO ARQUEOLOGICO
DDO1055,DDO1055 - MANIFESTACIONES DE LA ESPIRITUALIDAD EN LA ARAUCANIA. UNA..
DDO1116,DDO1116 - MAPUZUGUN: INICIACIÓN EN LA LENGUA MAPUCHE
EDI1155,EDI1155 - APRENDIZAJE Y DISCAPACIDAD
EMH1200,EMH1200 - HISTORIA ANTIGUA I
EPA1186,EPA1186 - LENGUAJES ARTISTICOS INTEGRADOS
FCJ1148,FCJ1148 - DERECHO INTERNACIONAL PRIVADO
FIL1148,FIL1148 - LATIN III
FIS1111,FIS1111 - FISICA II
GEO1132,GEO1132 - MINERALOGIA I
ICG1125,ICG1125 - VOLCANOLOGIA
ICG1166,ICG1166 - GEOLOGIA GENERAL
ICI1108,ICI1108 - LOGISTICA
ICI1128,ICI1128 - SISTEMAS DE NORMALIZACION Y CERTIFICACION
ICO1156,ICO1156 - ECONOMETRÍA
ICOC1145,ICOC1145 - INGENIERIA ECONOMICA
ICQ1149,ICQ1149 - LABORATORIO DE PROCESOS II
